r3_8x:h2o:4:0-3:31.653
r3_8x:h2o:4:0-3:32.247
r3_8x:h2o:4:0-3:33.733
r3_8x:h2o:8:0-7:18.26
r3_8x:h2o:8:0-7:17.705
r3_8x:h2o:8:0-7:16.739
r3_8x:h2o:8:0-3,8-11:19.031
r3_8x:h2o:8:0-3,8-11:17.929
r3_8x:h2o:8:0-3,8-11:18.502
r3_8x:h2o:8:0-3,16-19:26.66
r3_8x:h2o:8:0-3,16-19:27.689
r3_8x:h2o:8:0-3,16-19:26.562
r3_8x:h2o:16:0-15:10.785
r3_8x:h2o:16:0-15:11.395
r3_8x:h2o:16:0-15:11.262
r3_8x:h2o:16:0-7,16-23:15.555
r3_8x:h2o:16:0-7,16-23:16.831
r3_8x:h2o:16:0-7,16-23:15.7
r3_8x:h2o:32:0-31:12.448
r3_8x:h2o:32:0-31:11.013
r3_8x:h2o:32:0-31:12.943
r3_8x:lightgbm:4:0-3:0.9259
r3_8x:lightgbm:4:0-3:0.9243
r3_8x:lightgbm:4:0-3:0.9366
r3_8x:lightgbm:8:0-7:0.6497
r3_8x:lightgbm:8:0-7:0.6517
r3_8x:lightgbm:8:0-7:0.6342
r3_8x:lightgbm:8:0-3,8-11:0.6385
r3_8x:lightgbm:8:0-3,8-11:0.6588
r3_8x:lightgbm:8:0-3,8-11:0.6423
r3_8x:lightgbm:8:0-3,16-19:0.8285
r3_8x:lightgbm:8:0-3,16-19:0.798
r3_8x:lightgbm:8:0-3,16-19:0.8159
r3_8x:lightgbm:16:0-15:0.5447
r3_8x:lightgbm:16:0-15:0.5366
r3_8x:lightgbm:16:0-15:0.5323
r3_8x:lightgbm:16:0-7,16-23:0.6061
r3_8x:lightgbm:16:0-7,16-23:0.6502
r3_8x:lightgbm:16:0-7,16-23:0.6245
r3_8x:lightgbm:32:0-31:0.5641
r3_8x:lightgbm:32:0-31:0.5381
r3_8x:lightgbm:32:0-31:0.5692
r3_8x:xgboost:4:0-3:8.93
r3_8x:xgboost:4:0-3:8.856
r3_8x:xgboost:4:0-3:8.903
r3_8x:xgboost:8:0-7:5.764
r3_8x:xgboost:8:0-7:5.795
r3_8x:xgboost:8:0-7:5.753
r3_8x:xgboost:8:0-3,8-11:5.769
r3_8x:xgboost:8:0-3,8-11:5.776
r3_8x:xgboost:8:0-3,8-11:5.796
r3_8x:xgboost:8:0-3,16-19:7.237
r3_8x:xgboost:8:0-3,16-19:7.171
r3_8x:xgboost:8:0-3,16-19:7.234
r3_8x:xgboost:16:0-15:4.257
